order_id,user_id,created_at,discount_cost,discount_type,basket,month,day,year,cohort
1,1,4/12/2021,10000,1.0,12000,4,12,2021,3
2,2,5/9/2021,0,0.0,20000,5,9,2021,5
3,3,5/9/2021,10000,1.0,14000,5,9,2021,3
4,4,11/10/2021,0,0.0,15000,11,10,2021,11
5,5,11/10/2021,10000,1.0,16000,11,10,2021,1
6,6,1/1/2022,0,0.0,10000,1,1,2022,1
7,7,1/1/2022,0,0.0,29500,1,1,2022,1
8,8,1/1/2022,10000,1.0,10000,1,1,2022,1
9,9,1/1/2022,0,0.0,5000,1,1,2022,1
10,10,1/1/2022,0,0.0,35000,1,1,2022,1
11,11,1/1/2022,15000,1.0,21000,1,1,2022,1
12,12,1/1/2022,10000,1.0,8500,1,1,2022,1
13,13,1/1/2022,0,0.0,7000,1,1,2022,1
14,14,1/1/2022,15000,1.0,20000,1,1,2022,1
15,15,1/1/2022,10000,1.0,5000,1,1,2022,1
16,16,1/1/2022,0,0.0,50000,1,1,2022,1
17,17,1/1/2022,0,0.0,7000,1,1,2022,1
18,18,1/1/2022,0,0.0,20000,1,1,2022,1
19,19,1/1/2022,0,0.0,20000,1,1,2022,1
20,20,1/1/2022,0,0.0,25000,1,1,2022,1
21,21,1/1/2022,0,0.0,7000,1,1,2022,1
22,22,1/1/2022,0,0.0,25000,1,1,2022,1
23,23,1/1/2022,0,0.0,9000,1,1,2022,1
24,24,1/1/2022,10000,1.0,20000,1,1,2022,1
25,25,1/1/2022,10000,1.0,12000,1,1,2022,1
26,26,1/1/2022,10000,1.0,6000,1,1,2022,1
27,27,1/1/2022,0,0.0,10000,1,1,2022,1
28,28,1/1/2022,0,0.0,12000,1,1,2022,1
29,29,1/1/2022,0,0.0,20000,1,1,2022,1
30,30,1/1/2022,10000,1.0,7000,1,1,2022,1
31,31,1/1/2022,10000,1.0,11100,1,1,2022,1
32,32,1/1/2022,15000,1.0,20000,1,1,2022,1
33,33,1/1/2022,0,0.0,15000,1,1,2022,1
34,34,1/1/2022,15000,1.0,25000,1,1,2022,1
35,35,1/1/2022,0,0.0,30000,1,1,2022,1
36,36,1/1/2022,6000,1.0,35000,1,1,2022,1
37,37,1/1/2022,15000,1.0,18000,1,1,2022,1
38,38,1/1/2022,0,0.0,14000,1,1,2022,1
39,39,1/1/2022,0,0.0,15000,1,1,2022,1
40,40,1/1/2022,0,0.0,7000,1,1,2022,1
41,41,1/1/2022,15000,1.0,20000,1,1,2022,1
42,42,1/1/2022,0,0.0,9000,1,1,2022,1
43,43,1/1/2022,10000,1.0,9000,1,1,2022,1
44,44,1/1/2022,0,0.0,9000,1,1,2022,1
45,45,1/1/2022,12000,1.0,18000,1,1,2022,1
46,46,1/1/2022,10000,1.0,20000,1,1,2022,1
47,47,1/1/2022,0,0.0,20000,1,1,2022,1
48,48,1/1/2022,0,0.0,21000,1,1,2022,1
49,49,1/1/2022,10000,1.0,10000,1,1,2022,1
50,50,1/1/2022,15000,1.0,21000,1,1,2022,1
51,51,1/1/2022,15000,1.0,20000,1,1,2022,1
52,52,1/1/2022,10000,1.0,28000,1,1,2022,1
53,53,1/1/2022,10000,1.0,18000,1,1,2022,1
54,54,1/1/2022,0,0.0,10500,1,1,2022,1
55,55,1/1/2022,15000,1.0,21000,1,1,2022,1
56,56,1/1/2022,15000,1.0,20000,1,1,2022,1
57,57,1/1/2022,10000,1.0,14000,1,1,2022,1
58,58,1/1/2022,0,0.0,10000,1,1,2022,1
59,59,1/1/2022,0,0.0,11400,1,1,2022,1
60,60,1/1/2022,10000,1.0,37500,1,1,2022,1
61,61,1/1/2022,15000,1.0,21000,1,1,2022,1
62,62,1/1/2022,0,0.0,12500,1,1,2022,1
63,63,1/1/2022,15000,1.0,30000,1,1,2022,1
64,64,1/1/2022,15000,1.0,22000,1,1,2022,1
65,65,1/2/2022,10000,1.0,28000,1,2,2022,1
66,66,1/2/2022,10000,1.0,26000,1,2,2022,1
67,67,1/2/2022,0,0.0,20000,1,2,2022,1
68,68,1/2/2022,0,0.0,13000,1,2,2022,1
69,69,1/2/2022,0,0.0,10000,1,2,2022,1
70,22,1/2/2022,0,0.0,35000,1,2,2022,1
71,70,1/2/2022,10000,1.0,13000,1,2,2022,1
72,71,1/2/2022,0,0.0,12000,1,2,2022,1
73,72,1/2/2022,15000,1.0,65000,1,2,2022,1
74,73,1/2/2022,0,0.0,10000,1,2,2022,1
75,74,1/2/2022,0,0.0,22000,1,2,2022,1
76,75,1/2/2022,0,0.0,15000,1,2,2022,1
77,76,1/2/2022,0,0.0,6000,1,2,2022,1
78,77,1/2/2022,0,0.0,24000,1,2,2022,1
79,78,1/2/2022,0,0.0,24000,1,2,2022,1
80,79,1/2/2022,15000,1.0,20000,1,2,2022,1
81,80,1/2/2022,15000,1.0,20000,1,2,2022,1
82,81,1/2/2022,0,0.0,50000,1,2,2022,1
83,82,1/2/2022,15000,1.0,22000,1,2,2022,1
84,83,1/2/2022,0,0.0,6000,1,2,2022,1
85,84,1/2/2022,10000,1.0,18000,1,2,2022,1
86,85,1/2/2022,0,0.0,50000,1,2,2022,1
87,86,1/2/2022,0,0.0,20000,1,2,2022,1
88,87,1/2/2022,15000,1.0,23000,1,2,2022,1
89,88,1/2/2022,10000,1.0,15000,1,2,2022,1
