user_id,order_id,discount_cost,discount_type,basket,day,month,year
1984,2775.0,0.0,0.0,28000.0,8.0,2.0,2022.0
3276,5498.0,0.0,0.0,32400.0,6.0,3.0,2022.0
4360,8250.0,0.0,0.0,14000.0,3.0,4.0,2022.0
806,951.0,0.0,0.0,12000.0,17.0,1.0,2022.0
500,551.0,0.0,0.0,6500.0,11.0,1.0,2022.0
2112,3041.0,0.0,0.0,20000.0,11.0,2.0,2022.0
241,252.0,0.0,0.0,45000.0,6.0,1.0,2022.0
6728,15899.0,0.0,0.0,18000.0,23.0,5.0,2022.0
75,76.0,0.0,0.0,15000.0,2.0,1.0,2022.0
916,1101.0,0.0,0.0,25000.0,20.0,1.0,2022.0
1088,1340.0,10000.0,1.0,7000.0,22.0,1.0,2022.0
918,1103.0,15000.0,1.0,10500.0,20.0,1.0,2022.0
2138,3094.0,0.0,0.0,13000.0,11.0,2.0,2022.0
3241,5414.0,0.0,0.0,20000.0,5.0,3.0,2022.0
669,767.0,0.0,0.0,24000.0,14.0,1.0,2022.0
1810,2488.0,0.0,0.0,8500.0,5.0,2.0,2022.0
2264,3326.0,0.0,0.0,30000.0,13.0,2.0,2022.0
993,1201.0,0.0,0.0,30000.0,21.0,1.0,2022.0
3395,5792.0,0.0,0.0,8800.0,8.0,3.0,2022.0
289,300.0,0.0,0.0,8000.0,7.0,1.0,2022.0
1308,1686.0,10000.0,1.0,24000.0,28.0,1.0,2022.0
5519,11512.0,0.0,0.0,20000.0,23.0,4.0,2022.0
3419,5851.0,0.0,0.0,12000.0,9.0,3.0,2022.0
6051,13309.0,0.0,0.0,10000.0,5.0,5.0,2022.0
6152,13722.0,0.0,0.0,24000.0,7.0,5.0,2022.0
2488,3751.0,10000.0,1.0,10000.0,17.0,2.0,2022.0
5303,10882.0,0.0,0.0,15000.0,20.0,4.0,2022.0
415,447.0,10000.0,1.0,10000.0,9.0,1.0,2022.0
2741,4270.0,0.0,0.0,5000.0,22.0,2.0,2022.0
404,433.0,0.0,0.0,16000.0,9.0,1.0,2022.0
19,19.0,0.0,0.0,20000.0,1.0,1.0,2022.0
4130,7656.0,0.0,0.0,7000.0,28.0,3.0,2022.0
2590,3938.0,0.0,0.0,20000.0,18.0,2.0,2022.0
3831,6863.0,0.0,0.0,9000.0,19.0,3.0,2022.0
364,387.0,0.0,0.0,11000.0,8.0,1.0,2022.0
3323,5617.0,0.0,0.0,12000.0,7.0,3.0,2022.0
3793,6775.0,0.0,0.0,18000.0,18.0,3.0,2022.0
4054,7445.0,0.0,0.0,36000.0,25.0,3.0,2022.0
